Image type	Feature Class	Feature Name	ROI_45_segment_Mass
wavelet-LHL	firstorder	TotalEnergy	4228189.933885763
wavelet-LHL	firstorder	Uniformity	0.21138237188882603
wavelet-LHL	firstorder	Variance	1290.4703976569929
wavelet-LHL	glcm	Autocorrelation	50.04007512351014
wavelet-LHL	glcm	ClusterProminence	141.7241615996682
wavelet-LHL	glcm	ClusterShade	-8.023457363186749
wavelet-LHL	glcm	ClusterTendency	5.5711906994243225
wavelet-LHL	glcm	Contrast	2.9337425423285066
wavelet-LHL	glcm	Correlation	0.30478597345719927
wavelet-LHL	glcm	DifferenceAverage	1.1684726902994187
wavelet-LHL	glcm	DifferenceEntropy	1.9750377452667816
wavelet-LHL	glcm	DifferenceVariance	1.4766000773909016
wavelet-LHL	glcm	Id	0.5986838822892029
wavelet-LHL	glcm	Idm	0.5608390214313623
wavelet-LHL	glcm	Idmn	0.9842613101057867
wavelet-LHL	glcm	Idn	0.9238026474033133
wavelet-LHL	glcm	Imc1	-0.10108644913673966
wavelet-LHL	glcm	Imc2	0.5395186598067387
wavelet-LHL	glcm	InverseVariance	0.45788068825484446
wavelet-LHL	glcm	JointAverage	7.027090984224797
wavelet-LHL	glcm	JointEnergy	0.0573482206136443
wavelet-LHL	glcm	JointEntropy	4.823889058799628
wavelet-LHL	glcm	MCC	0.4728953562920592
wavelet-LHL	glcm	MaximumProbability	0.11765855055572594
wavelet-LHL	glcm	SumAverage	14.05418196844959
wavelet-LHL	glcm	SumEntropy	3.197674323716379
wavelet-LHL	glcm	SumSquares	2.1262333104382076
wavelet-LHL	gldm	DependenceEntropy	6.247906008477347
wavelet-LHL	gldm	DependenceNonUniformity	240.0261096605744
wavelet-LHL	gldm	DependenceNonUniformityNormalized	0.07833750315292899
wavelet-LHL	gldm	DependenceVariance	17.222499642099955
wavelet-LHL	gldm	GrayLevelNonUniformity	647.6755874673629
wavelet-LHL	gldm	GrayLevelVariance	2.139543524054292
wavelet-LHL	gldm	HighGrayLevelEmphasis	52.76109660574413
wavelet-LHL	gldm	LargeDependenceEmphasis	64.7532637075718
